iter	Passed	Remaining
0	2	206
1	4	206
2	5	188
3	7	179
4	9	189
5	11	181
6	13	176
7	15	176
8	17	173
9	18	170
10	20	168
11	22	164
12	24	161
13	26	159
14	28	159
15	30	160
16	32	157
17	33	154
18	35	151
19	37	148
20	38	146
21	40	144
22	42	142
23	44	140
24	46	138
25	47	135
26	49	134
27	51	132
28	53	131
29	55	129
30	57	127
31	59	126
32	61	124
33	63	123
34	65	121
35	67	119
36	69	118
37	71	116
38	72	114
39	74	111
40	76	109
41	76	106
42	78	103
43	80	102
44	82	100
45	83	98
46	85	96
47	87	94
48	88	92
49	90	90
50	91	88
51	93	86
52	95	84
53	97	82
54	98	80
55	99	78
56	101	76
57	103	74
58	104	72
59	106	70
60	108	69
61	109	67
62	111	65
63	113	63
64	114	61
65	116	60
66	118	58
67	120	56
68	122	54
69	124	53
70	126	51
71	127	49
72	129	47
73	131	46
74	132	44
75	134	42
76	136	40
77	137	38
78	139	37
79	141	35
80	142	33
81	144	31
82	146	29
83	147	28
84	149	26
85	151	24
86	152	22
87	154	21
88	156	19
89	157	17
90	159	15
91	161	14
92	162	12
93	164	10
94	166	8
95	168	7
96	169	5
97	171	3
98	172	1
99	174	0
