iter	Passed	Remaining
0	127	127122
1	128	63907
2	128	42810
3	129	32235
4	130	25917
5	130	21684
6	131	18662
7	132	16412
8	132	14639
9	133	13223
10	134	12075
11	135	11115
12	135	10304
13	136	9610
14	137	9013
15	138	8490
16	138	8025
17	139	7603
18	140	7235
19	140	6899
20	141	6598
21	142	6321
22	142	6071
23	143	5839
24	144	5624
25	144	5427
26	145	5242
27	146	5073
28	146	4913
29	147	4764
30	148	4628
31	148	4501
32	149	4382
33	150	4272
34	151	4172
35	152	4076
36	152	3979
37	153	3891
38	154	3803
39	155	3720
40	155	3645
41	156	3571
42	157	3503
43	158	3435
44	158	3371
45	159	3309
46	160	3248
47	160	3190
48	161	3134
49	162	3081
50	162	3029
51	163	2979
52	164	2935
53	165	2891
54	165	2849
55	166	2807
56	167	2769
57	168	2734
58	169	2698
59	169	2660
60	170	2624
61	171	2589
62	171	2555
63	172	2521
64	173	2489
65	173	2457
66	174	2426
67	174	2397
68	175	2371
69	176	2343
70	177	2316
71	177	2290
72	178	2265
73	179	2241
74	179	2217
75	180	2193
76	181	2170
77	181	2151
78	182	2132
79	183	2111
80	184	2090
81	184	2070
82	185	2047
83	186	2028
84	186	2009
85	187	1990
86	187	1972
87	188	1954
88	189	1937
89	189	1920
90	190	1904
91	191	1887
92	191	1871
93	192	1856
94	193	1840
95	193	1826
96	194	1812
97	195	1798
98	196	1784
99	196	1771
100	197	1758
101	198	1745
102	198	1732
103	199	1719
104	200	1706
105	200	1693
106	201	1681
107	202	1669
108	202	1657
109	203	1644
110	203	1633
111	204	1622
112	205	1611
113	205	1600
114	206	1589
115	207	1578
116	207	1566
117	208	1557
118	209	1548
119	210	1540
120	210	1531
121	211	1521
122	212	1511
123	212	1502
124	213	1493
125	214	1484
126	214	1474
127	215	1466
128	215	1457
129	216	1448
130	217	1440
131	217	1431
132	218	1422
133	218	1415
134	219	1407
135	220	1399
136	220	1391
137	221	1383
138	222	1375
139	222	1369
140	223	1362
141	224	1353
142	224	1347
143	225	1340
144	226	1334
145	226	1327
146	227	1320
147	228	1313
148	228	1307
149	229	1301
150	230	1294
151	230	1288
152	231	1282
153	232	1276
154	232	1270
155	233	1263
156	234	1257
157	234	1251
158	235	1246
159	236	1240
160	236	1233
161	237	1227
162	237	1221
163	238	1217
164	239	1212
165	240	1208
166	241	1203
167	241	1197
168	242	1192
169	243	1187
170	243	1182
171	244	1177
172	245	1172
173	245	1167
174	246	1162
175	247	1157
176	247	1152
177	248	1147
178	249	1142
179	249	1137
180	250	1132
181	250	1128
182	251	1123
183	252	1118
184	253	1115
185	253	1111
186	254	1107
187	255	1103
188	256	1099
189	257	1096
190	257	1092
191	258	1088
192	259	1084
193	259	1079
194	260	1075
195	261	1071
196	261	1067
197	262	1063
198	263	1058
199	263	1054
200	264	1050
201	264	1046
202	265	1042
203	266	1039
204	267	1035
205	267	1032
206	268	1029
207	269	1026
208	270	1022
209	270	1018
210	271	1014
211	272	1011
212	272	1007
213	273	1003
214	273	1000
215	274	996
216	275	992
217	275	989
218	276	985
219	277	982
220	277	978
221	278	975
222	278	971
223	279	968
224	280	965
225	280	962
226	281	958
227	282	955
228	282	952
229	283	949
230	284	947
231	285	944
232	286	941
233	286	938
234	287	935
235	288	932
236	288	929
237	289	926
238	290	923
239	290	920
240	291	917
241	291	914
242	292	911
243	293	908
244	293	905
245	294	902
246	294	899
247	295	896
248	296	893
249	296	890
250	297	887
251	298	885
252	298	882
253	300	881
254	300	878
255	301	876
256	302	873
257	302	871
258	303	868
259	304	865
260	304	863
261	305	860
262	306	858
263	306	855
264	307	853
265	308	850
266	308	848
267	309	845
268	310	842
269	310	840
270	311	837
271	312	835
272	312	833
273	313	830
274	314	828
275	314	825
276	315	824
277	316	822
278	317	820
279	318	818
280	318	815
281	319	813
282	320	810
283	320	808
284	321	806
285	322	804
286	322	801
287	323	799
288	324	797
289	324	794
290	325	792
291	325	790
292	326	787
293	327	785
294	327	783
295	328	781
296	329	779
297	330	777
298	330	775
299	331	773
300	332	771
301	333	769
302	333	767
303	334	765
304	334	763
305	335	761
306	336	759
307	337	757
308	337	755
309	338	753
310	338	750
311	339	748
312	340	746
313	340	744
314	341	742
315	341	740
316	342	738
317	343	736
318	344	734
319	344	732
320	345	731
321	346	729
322	347	727
323	347	725
324	348	723
325	349	721
326	349	719
327	350	718
328	351	716
329	351	714
330	352	712
331	352	710
332	353	708
333	354	706
334	354	704
335	355	702
336	356	700
337	356	698
338	357	696
339	358	695
340	359	694
341	359	692
342	360	690
343	361	689
344	362	687
345	362	686
346	363	684
347	364	682
348	364	680
349	365	678
350	366	677
351	366	675
352	367	673
353	368	671
354	368	670
355	369	668
356	370	666
357	370	664
358	371	663
359	372	661
360	372	659
361	373	658
362	374	656
363	375	655
364	375	653
365	376	651
366	377	650
367	377	648
368	378	647
369	379	645
370	379	643
371	380	642
372	381	640
373	381	638
374	382	637
375	383	635
376	383	634
377	384	632
378	384	630
379	385	629
380	386	627
381	386	625
382	388	625
383	389	624
384	389	622
385	390	621
386	391	620
387	392	618
388	393	617
389	394	616
390	394	615
391	395	613
392	396	612
393	397	610
394	397	609
395	398	607
396	399	606
397	399	604
398	400	603
399	401	601
400	401	600
401	402	599
402	403	597
403	404	596
404	405	595
405	405	593
406	406	592
407	407	590
408	407	589
409	408	587
410	409	586
411	410	585
412	410	584
413	411	582
414	412	581
415	413	580
416	414	578
417	414	577
418	415	576
419	416	574
420	417	573
421	418	572
422	419	571
423	419	570
424	420	569
425	421	567
426	422	566
427	423	565
428	423	564
429	424	562
430	425	561
431	425	559
432	426	558
433	427	557
434	427	555
435	428	554
436	429	553
437	429	551
438	430	550
439	431	548
440	432	547
441	432	546
442	433	545
443	434	544
444	435	542
445	435	541
446	436	540
447	437	538
448	437	537
449	438	536
450	439	534
451	440	533
452	440	532
453	441	530
454	442	529
455	442	528
456	443	526
457	444	525
458	444	524
459	445	522
460	446	521
461	446	520
462	447	519
463	448	518
464	449	516
465	450	515
466	451	514
467	452	513
468	452	512
469	453	511
470	454	510
471	454	508
472	455	507
473	456	506
474	457	505
475	457	503
476	458	502
477	459	501
478	459	500
479	460	498
480	461	497
481	462	496
482	462	495
483	463	494
484	464	492
485	465	492
486	466	490
487	466	489
488	467	488
489	468	487
490	469	486
491	469	485
492	470	483
493	471	482
494	471	481
495	472	480
496	473	478
497	473	477
498	474	476
499	475	475
500	475	473
501	476	472
502	477	471
503	478	470
504	478	469
505	479	468
506	480	467
507	481	466
508	481	464
509	482	463
510	483	462
511	483	461
512	484	460
513	485	458
514	486	457
515	486	456
516	487	455
517	488	454
518	488	453
519	489	451
520	490	450
521	490	449
522	491	448
523	492	447
524	493	446
525	493	445
526	494	443
527	495	442
528	496	441
529	496	440
530	497	439
531	498	438
532	498	437
533	499	436
534	500	434
535	501	433
536	501	432
537	502	431
538	503	430
539	504	429
540	504	428
541	505	427
542	506	426
543	507	425
544	507	424
545	508	423
546	509	422
547	510	420
548	511	419
549	511	418
550	512	417
551	513	416
552	513	415
553	514	414
554	515	413
555	516	412
556	516	410
557	517	409
558	517	408
559	518	407
560	519	406
561	519	405
562	520	404
563	521	403
564	522	402
565	523	401
566	524	400
567	525	399
568	525	398
569	526	397
570	527	396
571	528	395
572	529	394
573	530	393
574	530	392
575	531	391
576	532	390
577	533	389
578	533	388
579	534	387
580	535	386
581	536	385
582	537	384
583	538	383
584	539	382
585	539	381
586	540	380
587	541	379
588	542	378
589	543	377
590	544	376
591	545	375
592	546	374
593	547	374
594	547	372
595	548	371
596	549	370
597	550	369
598	551	368
599	551	367
600	552	366
601	553	365
602	554	365
603	555	364
604	556	363
605	556	362
606	557	361
607	558	359
608	559	358
609	559	357
610	560	356
611	561	355
612	561	354
613	562	353
614	563	352
615	563	351
616	564	350
617	565	349
618	566	348
619	567	347
620	567	346
621	568	345
622	569	344
623	570	343
624	570	342
625	571	341
626	572	340
627	572	339
628	573	338
629	574	337
630	574	336
631	575	335
632	576	334
633	576	333
634	577	332
635	578	330
636	579	329
637	579	329
638	580	328
639	581	327
640	582	326
641	583	325
642	583	324
643	584	323
644	585	322
645	586	321
646	586	320
647	587	319
648	588	318
649	589	317
650	589	316
651	590	315
652	591	314
653	591	313
654	592	312
655	593	311
656	594	310
657	595	309
658	596	308
659	597	307
660	598	306
661	598	305
662	599	304
663	600	303
664	601	302
665	601	301
666	602	300
667	602	299
668	603	298
669	604	297
670	604	296
671	605	295
672	606	294
673	607	293
674	607	292
675	608	291
676	609	290
677	610	289
678	611	288
679	611	287
680	612	286
681	613	285
682	613	284
683	614	283
684	615	282
685	615	281
686	616	280
687	617	279
688	617	278
689	618	277
690	619	276
691	619	275
692	620	274
693	621	273
694	621	272
695	622	271
696	623	270
697	624	270
698	625	269
699	625	268
700	626	267
701	627	266
702	628	265
703	629	264
704	629	263
705	630	262
706	631	261
707	632	260
708	632	259
709	633	258
710	634	257
711	635	256
712	635	255
713	636	254
714	637	253
715	637	253
716	638	252
717	639	251
718	640	250
719	640	249
720	641	248
721	642	247
722	643	246
723	644	245
724	644	244
725	645	243
726	646	242
727	646	241
728	647	240
729	648	239
730	648	238
731	649	237
732	650	236
733	650	235
734	651	234
735	652	233
736	652	232
737	653	231
738	654	231
739	654	230
740	655	229
741	656	228
742	657	227
743	657	226
744	658	225
745	659	224
746	659	223
747	660	222
748	661	221
749	662	220
750	662	219
751	663	218
752	664	217
753	664	216
754	665	215
755	665	214
756	666	213
757	667	213
758	667	212
759	669	211
760	669	210
761	670	209
762	671	208
763	672	207
764	672	206
765	673	205
766	673	204
767	674	203
768	675	202
769	675	201
770	676	200
771	677	200
772	677	199
773	678	198
774	679	197
775	680	196
776	680	195
777	681	194
778	682	193
779	683	192
780	684	191
781	684	190
782	685	190
783	686	189
784	687	188
785	688	187
786	689	186
787	689	185
788	690	184
789	691	183
790	691	182
791	692	181
792	693	180
793	693	180
794	694	179
795	695	178
796	695	177
797	696	176
798	697	175
799	697	174
800	698	173
801	699	172
802	700	171
803	700	170
804	701	170
805	702	169
806	703	168
807	704	167
808	705	166
809	705	165
810	706	164
811	707	163
812	707	162
813	708	161
814	709	160
815	709	160
816	710	159
817	711	158
818	711	157
819	712	156
820	713	155
821	714	154
822	715	153
823	715	152
824	716	152
825	717	151
826	718	150
827	718	149
828	719	148
829	720	147
830	720	146
831	721	145
832	722	144
833	723	143
834	723	143
835	724	142
836	725	141
837	725	140
838	726	139
839	727	138
840	728	137
841	729	136
842	729	135
843	730	135
844	731	134
845	732	133
846	732	132
847	733	131
848	734	130
849	735	129
850	735	128
851	736	127
852	737	127
853	737	126
854	738	125
855	739	124
856	739	123
857	740	122
858	741	121
859	741	120
860	742	119
861	743	119
862	744	118
863	745	117
864	745	116
865	746	115
866	747	114
867	747	113
868	748	112
869	749	111
870	750	111
871	750	110
872	751	109
873	751	108
874	752	107
875	753	106
876	754	105
877	754	104
878	755	103
879	756	103
880	756	102
881	757	101
882	758	100
883	759	99
884	760	98
885	760	97
886	761	97
887	762	96
888	763	95
889	763	94
890	764	93
891	765	92
892	765	91
893	766	90
894	767	90
895	767	89
896	768	88
897	769	87
898	769	86
899	770	85
900	771	84
901	772	83
902	773	83
903	774	82
904	774	81
905	775	80
906	776	79
907	776	78
908	777	77
909	778	76
910	779	76
911	779	75
912	780	74
913	781	73
914	781	72
915	782	71
916	783	70
917	783	70
918	784	69
919	785	68
920	785	67
921	786	66
922	787	65
923	788	64
924	789	63
925	790	63
926	790	62
927	791	61
928	792	60
929	792	59
930	793	58
931	794	57
932	794	57
933	795	56
934	796	55
935	796	54
936	797	53
937	798	52
938	799	51
939	799	51
940	800	50
941	801	49
942	801	48
943	802	47
944	803	46
945	804	45
946	805	45
947	805	44
948	806	43
949	807	42
950	807	41
951	808	40
952	809	39
953	809	39
954	810	38
955	811	37
956	811	36
957	812	35
958	813	34
959	813	33
960	814	33
961	815	32
962	815	31
963	816	30
964	817	29
965	818	28
966	819	27
967	820	27
968	821	26
969	822	25
970	822	24
